r2 ,input ,port1,port2,port3,port4 
0.127012244,1,0.149182748,0.161123778,0.11682108,0.105694366
0.287103791,1,0.260545383,0.247900435,0.23813411,0.280612531
0.244266949,1,0.249613081,0.240822339,0.271364361,0.235325849
0.151877361,1,0.621991883,0.0667295,0.072596158,0.06730361
0.157166233,1,0.653697394,0.099209102,0.091211405,0.110422226
0.077128135,1,0.193996673,0.16788201,0.077582452,0.084744094
0.284759065,1,0.285658193,0.239005056,0.256152215,0.262218275
0.13082452,1,0.046436545,0.027194863,0.032077325,0.110601757
0.166801465,1,0.229576251,0.223042085,0.151484064,0.150872065
0.100098149,1,0.147894028,0.200306648,0.085813215,0.022825883
0.291170784,1,0.342798847,0.275301624,0.245299703,0.307331813
0.149808791,1,0.190456981,0.222665026,0.166694523,0.154576291
0.221448716,1,0.191205489,0.27055098,0.177266645,0.250436974
0.103778728,1,0.207234892,0.179493172,0.090301248,0.063089363
0.191769653,1,0.235685534,0.221276801,0.159386983,0.119565744
0.224878689,1,0.231077122,0.274651777,0.161949683,0.261185506
0.07084097,1,0.168298809,0.156151133,0.031320178,0.119398927
0.213192189,1,0.225938684,0.238934739,0.251010393,0.226110901
0.170219744,1,0.1706132,0.152902672,0.109983653,0.954336311
0.289258045,1,0.225817534,0.207296225,1.110051371,1.159298842
0.11658139,1,0.121541012,0.109314839,0.077489387,0.047318247
0.27352672,1,0.138887165,0.284822505,0.243561975,0.180087576
0.113570273,1,0.200985681,0.122786778,0.075652786,0.028029985
0.277349248,1,0.342385945,0.271341413,0.267146315,0.302686835
0.148148686,1,0.035145679,0.080664745,0.054453751,0.12982236
0.168205888,1,0.176571926,0.182512454,0.157882513,0.156267389
0.20506461,1,0.205396534,0.269408782,0.19524369,0.276114185
0.110624555,1,0.111682794,0.100680511,0.081151737,0.079865701
0.28509903,1,0.139377443,0.262865897,0.27837789,0.124872003
0.165071912,1,0.045279164,0.065017744,0.071493655,0.141722268
0.146823502,1,0.203628519,0.223657121,0.158775505,0.167644239
0.228402775,1,0.283912436,0.267238318,0.238932841,0.225349798
0.326061468,1,0.23139351,0.202875978,1.111724422,1.130067101
0.084482687,1,0.186529963,0.151362006,0.077180135,0.077420155
0.11692175,1,0.144844947,0.126443173,0.138143562,0.935067019
0.249654575,1,0.282230619,0.271434364,0.257997043,0.285994665
0.173643031,1,0.223743658,0.258646321,0.205201699,0.276252731
0.22272967,1,0.261832379,0.241795387,0.259322382,0.256484636
0.19693234,1,0.171584827,0.248914013,0.195995813,0.252165583
0.231131589,1,0.28385761,0.235146284,0.258503794,0.178687273
0.202417064,1,0.183674809,0.254317207,0.186775024,0.260556004
0.140195043,1,0.201455304,0.158835802,0.155015592,0.190566214
0.210532109,1,0.228246704,0.248899589,0.182396103,0.259152845
0.214232246,1,0.207344446,0.28324186,0.214702531,0.236786132
0.165483477,1,0.019980883,0.03954677,0.05553809,0.135548866
0.273829761,1,0.250162499,0.188885215,1.112552227,1.111739353
0.249028709,1,0.264606923,0.246328468,0.283844337,0.212939286
0.175741979,1,0.202999923,0.26247899,0.211437312,0.237154972
0.12116812,1,0.042418636,0.079460021,0.082343925,0.127019946
0.176952942,1,0.226014694,0.25297283,0.195656954,0.259085242
0.155615083,1,0.201664749,0.195429233,0.175024673,0.166744221
0.271990838,1,0.349044184,0.30781823,0.283565679,0.244544882
0.089163427,1,0.163889913,0.170022811,0.082586704,0.083797623
0.123185122,1,0.640359612,0.093393531,0.083764524,0.123209358
0.209269384,1,0.213119715,0.240993211,0.144016228,0.262739234
0.145773943,1,0.098139061,0.099084263,0.084995708,0.061155535
0.183649165,1,0.665665995,0.080416762,0.062719227,0.115391156
0.182197432,1,0.231622294,0.220310694,0.199380281,0.25789228
0.165046646,1,0.207639701,0.227524125,0.204203023,0.216159267
0.083534458,1,0.159648675,0.149960083,0.094111595,0.107038957
0.149200331,1,0.235505771,0.210867958,0.173396452,0.205101905
0.271577538,1,0.151878249,0.224058827,0.293939006,0.163574031
0.158155056,1,0.645616174,0.057264067,0.105738186,0.131103544
0.183340612,1,0.038552073,0.04889528,0.08522179,0.110151287
0.197342932,1,0.232015848,0.257972886,0.227777632,0.256067856
0.236682753,1,0.15705746,0.253384686,0.256181119,0.167662938
0.252967001,1,0.263404879,0.213714008,0.289222876,0.168405332
0.281258069,1,0.241737528,0.151233274,1.096511321,1.128186378
0.100986042,1,0.144621875,0.179899878,0.105466427,0.049266534
0.209302146,1,0.206085933,0.226724922,0.190630775,0.212378147
0.126802204,1,0.154776744,0.158758073,0.105740698,0.100412559
0.279018101,1,0.305607819,0.282823391,0.257965246,0.247788096
0.23650588,1,0.228564392,0.233006486,0.182127561,0.275150066
0.184345377,1,0.207157252,0.20876585,0.184763412,0.224516222
0.165715402,1,0.668287713,0.102391816,0.100871454,0.122988688
0.306612683,1,0.280865187,0.22408772,0.283986744,0.29774218
0.167308334,1,0.188200599,0.190674731,0.185087629,0.218975124
0.141089342,1,0.615118468,0.117965428,0.052510324,0.096473835
0.139612677,1,0.112891018,0.125187653,0.095083111,0.06118851
0.148736036,1,0.635302356,0.105609688,0.138753974,0.084782064
0.173986149,1,0.211864842,0.263254366,0.198885612,0.257469857
0.10797435,1,0.17414253,0.139892472,0.112621893,0.960172832
0.141447088,1,0.122534366,0.150789684,0.075245929,0.975875064
0.274005704,1,0.337115686,0.342888859,0.291213369,0.219815568
0.16558427,1,0.221133055,0.264075646,0.175078126,0.220792123
0.175892609,1,0.145747548,0.212205386,0.102624762,0.202503355
0.21337757,1,0.268988254,0.257149863,0.323863745,0.209760127
0.294073144,1,0.20614114,0.179723261,1.114071201,1.118342063
0.2361206,1,0.271270415,0.225168901,0.264575591,0.236954725
0.178073134,1,0.168122131,0.261893878,0.192884559,0.247417914
0.160623043,1,0.038849472,0.087254895,0.079479598,0.10394091
0.254824101,1,0.290630994,0.238502126,0.258936977,0.289761526
0.131858156,1,0.146192679,0.13282208,0.099581714,0.077777095
0.203408913,1,0.218754163,0.248265488,0.206134407,0.259774955
0.188131392,1,0.215405657,0.266186838,0.197849973,0.270050152
0.287222532,1,0.321271432,0.286068513,0.315212159,0.216231537
0.203782411,1,0.219355918,0.230235312,0.19610303,0.294822275
0.293705829,1,0.323186039,0.256163328,0.300542764,0.29125285
0.09298717,1,0.199334913,0.125163374,0.121634243,0.137904012
0.118045758,1,0.139528452,0.134961433,0.054613488,0.079738927
0.142212187,1,0.218060335,0.144918517,0.174888075,0.159141936
0.120828536,1,0.122361938,0.172973371,0.113515018,0.945581621
0.111497644,1,0.154207997,0.1559469,0.102544516,0.947726603
0.207150246,1,0.217248023,0.255953212,0.208295431,0.266971762
0.159784066,1,0.653386717,0.073374075,0.094627739,0.083280033
0.108108519,1,0.152698354,0.147766426,0.126724721,0.094888537
0.231505041,1,0.270798551,0.204341461,0.275311932,0.22538472
0.280410639,1,0.240951753,0.172096468,1.144692648,1.161390537
0.15518002,1,0.223897683,0.254789379,0.161415453,0.100842744
0.106191871,1,0.136885098,0.14502907,0.062458946,0.059041171
0.181674171,1,0.165443803,0.150835453,0.207250003,0.144384451
0.116984902,1,0.173127451,0.132795586,0.079647988,0.113264261
0.281670259,1,0.355985758,0.298882972,0.270953984,0.226048077
0.187016372,1,0.217377151,0.208249912,0.148107539,0.173391122
0.19798131,1,0.225593302,0.275066273,0.162760386,0.250117434
0.131265179,1,0.136001696,0.155627698,0.092736164,0.140284725
0.194091154,1,0.201481849,0.220443145,0.195626934,0.252691179
0.223352677,1,0.330702,0.231986241,0.242531631,0.187029841
0.225953826,1,0.321160006,0.299463888,0.306697538,0.216047804
0.159382396,1,0.197537734,0.271457915,0.157330729,0.133067564
0.10899967,1,0.137047189,0.121602664,0.088250423,0.091505616
0.219470255,1,0.261017714,0.257417136,0.288187942,0.21092287
0.252632988,1,0.24120152,0.220056303,0.224285756,0.206599272
0.230112236,1,0.27763573,0.278417301,0.252795943,0.229118277
0.142765096,1,0.173735806,0.253790773,0.146094674,0.173560842
0.107040946,1,0.224112722,0.156385503,0.103341875,0.066297694
0.193635726,1,0.206048201,0.165812771,0.187920986,0.203494289
0.171190756,1,0.188044043,0.201490255,0.179719718,0.149979088
0.243403152,1,0.266484216,0.244042016,0.253863103,0.242982931
0.239714683,1,0.315042498,0.213093715,0.254637358,0.201252009
0.24822315,1,0.145129014,0.246987244,0.252534544,0.182660126
0.272323298,1,0.283766862,0.236239329,0.284381486,0.228601141
0.296303166,1,0.295125393,0.279535578,0.321943297,0.197745292
0.165331977,1,0.224745404,0.23737102,0.159168143,0.127573496
0.291822671,1,0.15689524,0.282035227,0.296787445,0.161732725
0.083148929,1,0.101640992,0.133165974,0.098999634,0.100658244
0.185824566,1,0.220054421,0.222740032,0.151916455,0.128207349
0.288018645,1,0.272156487,0.179372734,1.124484863,1.115778262
0.280845412,1,0.286924582,0.249146733,0.256591802,0.209369074
0.247418854,1,0.224445719,0.223902342,0.24734635,0.26110986
0.09613583,1,0.141174987,0.172449798,0.102145031,0.922365917
0.122703803,1,0.186569858,0.234657681,0.184148739,0.11439488
0.099286858,1,0.186285878,0.127716587,0.103836766,0.91041155
0.140543949,1,0.041081318,0.048513726,0.086918235,0.07877223
0.253916353,1,0.273060034,0.235700552,0.245884148,0.235124439
0.135907098,1,0.640860901,0.08792697,0.081719047,0.111067296
0.233384591,1,0.254386998,0.228267632,0.32302571,0.205405701
0.292035625,1,0.23751542,0.182467225,1.115558768,1.13184018
0.181157487,1,0.222133566,0.202916579,0.169043568,0.118166751
0.269237125,1,0.328592563,0.312603258,0.306256809,0.197943846
0.234010165,1,0.246108569,0.256129824,0.260761202,0.194292655
0.275383538,1,0.227409079,0.239236571,0.251522203,0.262815672
0.156500655,1,0.210087632,0.185249674,0.156950208,0.153168147
0.114729445,1,0.162655912,0.115391485,0.021717124,0.092143472
0.185388898,1,0.204438267,0.26146746,0.20588151,0.269959289
0.160007009,1,0.203842046,0.27054319,0.179667784,0.265451819
0.230943924,1,0.25090897,0.218508123,0.217387335,0.200006642
0.25269392,1,0.334633715,0.314142666,0.242091105,0.231146339
0.158449007,1,0.222443969,0.211785277,0.166583905,0.134284545
0.146937994,1,0.220548033,0.23659321,0.181096254,0.14957528
0.23511964,1,0.194721679,0.229785424,0.260150414,0.245849269
0.15672418,1,0.056201992,0.056437356,0.043342036,0.137715521
0.130681356,1,0.129824925,0.103632977,0.091784715,0.073531644
0.1123353,1,0.152002931,0.117105826,0.119108707,0.947165465
0.10297473,1,0.138112165,0.143927032,0.101649356,0.072892274
0.136377699,1,0.667579959,0.083115552,0.080509684,0.123275203
0.259112744,1,0.175318371,0.251645304,0.261576056,0.168904553
0.181110015,1,0.201808414,0.166992693,0.191195301,0.188101393
0.220097752,1,0.175112287,0.266429455,0.199040763,0.235957899
0.244592115,1,0.268643019,0.222523101,0.233924427,0.242443324
0.230904437,1,0.188277328,0.251237175,0.185191406,0.219175809
0.167526263,1,-0.004854743,0.061159576,0.10380191,0.085260059
0.190791615,1,0.209412255,0.285693837,0.1713907,0.241473106
0.261595172,1,0.340032302,0.276021988,0.277278099,0.240442221
0.296275435,1,0.169724888,0.240229475,0.2928446,0.193432505
0.123478931,1,0.14621112,0.156680541,0.080961027,0.070171184
0.214866191,1,0.184229515,0.283501257,0.178942962,0.308174058
0.159700473,1,0.161045559,0.211833536,0.157265521,0.204433905
0.100130331,1,0.126689684,0.130849141,0.087706216,0.114799079
0.276819734,1,0.336619507,0.242785178,0.244887239,0.298679127
0.220260666,1,0.200251826,0.280809743,0.165392604,0.23635633
0.210035904,1,0.206467093,0.273526625,0.188588862,0.285227439
0.22738635,1,0.264098566,0.255805537,0.191409613,0.260411
0.179253275,1,0.235891974,0.294464165,0.187616645,0.287726117
0.184453001,1,0.205400372,0.194767389,0.164144225,0.202743921
0.100816297,1,0.182067578,0.131626845,0.039929878,0.06906848
0.228066075,1,0.182682052,0.278591857,0.184002498,0.246605518
0.233742968,1,0.332185882,0.296027398,0.294995583,0.20832197
0.255718348,1,0.215373563,0.290398444,0.222302151,0.296044711
0.222255249,1,0.252921165,0.275434462,0.24592385,0.207140484
0.265326097,1,0.346871374,0.313801202,0.339819874,0.190792468
0.280998067,1,0.305549652,0.24794507,0.276396986,0.293485123
0.231215225,1,0.187694922,0.278159935,0.142081688,0.258037342
0.266054135,1,0.330557247,0.333105217,0.296154701,0.230230684
0.165588836,1,0.231705344,0.182387927,0.17481967,0.127423463
0.223260608,1,0.181523637,0.235179722,0.223756061,0.271692742
0.163543346,1,0.60660812,0.112994251,0.065549589,0.133345691
0.21897143,1,0.225220645,0.261337582,0.216434822,0.326742151
0.224303534,1,0.207325765,0.286664574,0.184066486,0.260429554
0.257743373,1,0.294742666,0.279972299,0.319869158,0.215311254
0.205288788,1,0.257859662,0.197802954,0.252678324,0.213507914
0.217837483,1,0.197144601,0.237446707,0.148589753,0.237666549
0.169199974,1,0.180425843,0.274427138,0.191863716,0.265534035
0.131610963,1,0.133439559,0.196301143,0.084550805,0.964648686
0.200231503,1,0.199950195,0.266928378,0.217023703,0.260993465
0.20007899,1,0.239105826,0.282859795,0.21471086,0.194552214
0.176871406,1,0.20309511,0.282092131,0.148818967,0.278985661
0.223671679,1,0.211937473,0.248692436,0.165098925,0.293226512
0.157688044,1,0.635264834,0.110843405,0.064642952,0.114646369
0.160533744,1,0.176709577,0.189789634,0.143370443,0.242798679
0.189672317,1,0.195250833,0.25971469,0.220389291,0.243121658
0.141769173,1,0.112857536,0.111598553,0.066733889,0.089335618
0.147485772,1,0.685995986,0.091036321,0.066004819,0.065767656
